av512m/500/1 : [22.20564, 9.14282, 22.88139]
euroc_v203_752/500/3 : [95.94088, 3.96493, 170.90454]
euroc_v203_752/750/1 : [35.46235, 35.46235]
euroc_v203_752/750/2 : [40.32106, 40.32106]
euroc_v203_752/750/3 : [48.09784, 48.09784]
euroc_v203_752/1000/1 : [34.04775, 6.74878, 34.5654]
euroc_v203_752/1000/2 : [47.80783, 47.80783]
euroc_v203_752/1000/3 : [50.68352, 0.57506, 52.84275]
euroc_v203_752/1250/1 : [77.72234, 2.54206, 85.44803, 86.87572]
euroc_v203_752/1250/2 : [142.03929, 2.02013, 55.88534, 2.28558, 2.09006, 4.59946, 151.64297]
euroc_v203_752/1250/3 : [189.19132, -100, 189.19132]
euroc_v203_752/2500/1 : [191.1694, -100, 191.1694]
euroc_v203_752/2500/2 : [162.95403, 115.79133, -100, -100, 156.15715]
euroc_v203_752/2500/3 : [190.16519, 43.45929, -100, 180.37954]
euroc_v203_752/5000/1 : [191.09506, 52.56662, -100, -100, 186.50529]
euroc_v203_752/5000/2 : [158.09234, 91.94335, 60.16608, 165.85388]
euroc_v203_752/5000/3 : [107.88335, 107.88335]
euroc_v203_752/10000/1 : [71.14724, 71.14724]
euroc_v203_752/10000/2 : [110.68081, 110.68081]
euroc_v203_752/10000/3 : [109.35662, -100, 109.35662]
tum_room1_512/500/1 : [4.75348, 7.53013, 7.23948]
tum_room1_512/500/2 : [6.92959, 7.51071, 7.68043]
tum_room1_512/500/3 : [5.08024, 7.53306, 7.32845]
tum_room1_512/750/1 : [6.97709, 7.48583, 7.67521]
tum_room1_512/750/2 : [10.88198, 7.42568, 8.91838]
tum_room1_512/750/3 : [8.06377, 8.06377]
tum_room1_512/1000/1 : [31.26641, 7.46713, 19.39181]
tum_room1_512/1000/2 : [11.49717, 7.48441, 9.11617]
tum_room1_512/1000/3 : [32.98554, 7.4792, 20.41776]
tum_room1_512/1250/1 : [16.05568, 7.40386, 11.34307]
tum_room1_512/1250/2 : [7.9402, 7.9402]
tum_room1_512/1250/3 : [20.20802, 20.20802]
tum_room1_512/2500/1 : [8.55995, 8.55995]
tum_room1_512/2500/2 : [7.48221, 7.48221]
tum_room1_512/2500/3 : [22.77471, 22.77471]
tum_room1_512/5000/1 : [16.06947, 16.06947]
tum_room1_512/5000/2 : [37.60973, 37.60973]
tum_room1_512/5000/3 : [65.52287, 65.52287]
tum_room1_512/10000/1 : [28.628, 28.628]
tum_room1_512/10000/2 : [29.7405, 29.7405]
tum_room1_512/10000/3 : [25.48649, 25.48649]
tum_room2_512/500/1 : [5.55578, 3.29026, 4.81969]
tum_room2_512/500/2 : [5.94255, 3.35808, 4.97173]
tum_room2_512/500/3 : [7.00544, 3.34666, 5.39755]
